# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,True,-0.0026152840000000003,5124.8054,-1348.633,-1078.9064,6473.4384,,,1.3000000000096268e-08,398365439997.05,647343840000.0001,9.000000000033287e-09,6193344.297663407,0.7327785268720702,4585.3522,5664.2586,,,,,
1,True,-0.001498374,5664.2586,-809.1798000000001,-539.4532,6473.4384,0.0011169100000000003,895.3272868897224,1.1000000000064777e-08,451179039997.34314,485507880000.0,9.000000000033287e-09,2094255.437025584,0.17496125055982115,-1078.9064,5664.2586,,,,,
2,False,-0.001208216,5933.9852,-1348.633,-809.1798000000001,7282.6182,0.000290158,3446.3981692732928,1.3000000000096268e-08,448161119996.6813,485507880000.0,1.4000000000003593e-08,19883049.53811915,0.9943226003458443,0.0,5933.9852,,,,,
3,True,-0.000717657,5933.9852,-1348.633,-539.4532,7282.6182,0.000490559,2038.4907829639249,9.999999999940612e-09,539453200003.20374,917070440000.0,1.0999999999847937e-08,6406925.870873182,0.28047563147928234,-269.7266,5933.9852,,,,,
4,False,-0.00048210000000000006,6203.7118,-1348.633,-809.1798000000001,7552.3448,0.00023555699999999995,4245.256986631686,1.2999999999662587e-08,414964000010.7703,1024961080000.0,1.2000000000188943e-08,25904019.52767772,0.9930814177027522,0.0,6203.7118,,,,,
5,False,-1.0999999999847937e-08,8091.798000000001,-1888.0862000000002,-1078.9064,9979.8842,0.0004820890000000002,2074.3057817125045,9.999999999940612e-09,733656352004.357,1564414280000.0,9.000000000033287e-09,12857506.290614236,0.6023359132415118,-269.7266,8091.798000000001,,,,,
6,False,0.00021057400000000026,6203.7118,-1348.633,-809.1798000000001,7552.3448,0.0002105850000000001,4748.676306479566,1.2000000000188943e-08,467526106659.30536,647343840000.0,1.1999999999755262e-08,29517923.435955472,0.9885837415425748,-269.7266,6203.7118,,,,,
7,False,0.0004307619999999999,6473.438400000001,-1348.633,-809.1798000000001,7822.071400000001,0.00022018799999999963,4541.5735644086035,1.6000000000251924e-08,377617239994.0544,809179800000.0,1.0500000000111115e-08,30033541.994743425,0.9927783820899039,-269.7266,6473.438400000001,,,,,
8,False,0.000580438,4855.0788,-1078.9064,-809.1798000000001,5933.9852,0.00014967600000000006,6681.097837996736,9.000000000033287e-09,527465351109.16034,809179800000.0,1.1999999999755262e-08,32373073.57143103,0.9854393984978563,-269.7266,4855.0788,,,,,
9,False,0.000811301,6743.165000000001,-1618.3596000000002,-809.1798000000001,8361.5246,0.000230863,4331.573270727661,1.0000000000374293e-08,647343839975.7705,1240742360000.0002,1.0999999999847937e-08,31842220.311734002,0.995497777321439,-809.1798000000001,6743.165000000001,,,,,
