# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,False,-0.002766689,6473.438400000001,-1618.3596000000002,0.0,8091.798000000001,,,9.999999999940612e-09,496296944002.9475,701289160000.0,1.0500000000111115e-08,34344759.25436998,0.6624273824842328,5933.9852,6473.438400000001,,,,,
1,False,-0.0025208739999999998,7822.071400000001,-2427.5394,0.0,10249.6108,0.00024581500000000036,4068.0999938978443,8.000000000125962e-09,782207139987.6841,1132851720000.0002,1.4000000000003593e-08,34419279.24122964,0.9982454560337302,-539.4532,7822.071400000001,,,,,
2,False,-0.0023143319999999997,7822.071400000001,-2427.5394,0.0,10249.6108,0.0002065420000000001,4841.630273745774,9.000000000033287e-09,695295235552.984,1078906400000.0002,1.2000000000188943e-08,36549677.311032064,0.9973563614118505,-269.7266,7822.071400000001,,,,,
3,False,-0.002138456,5933.9852,-2157.8128,0.0,8091.798000000001,0.00017587599999999972,5685.824103345548,7.999999999692281e-09,620371180023.8625,917070440000.0,9.999999999940612e-09,39075633.66255508,0.9971670583803768,-269.7266,5933.9852,,,,,
4,False,-0.001971835,6473.438400000001,-1888.0862000000002,0.0,8361.5246,0.00016662100000000004,6001.644450579457,9.000000000033287e-09,551441048886.8495,809179800000.0,1.4000000000437274e-08,42133922.28728892,0.9975699257832787,0.0,6473.438400000001,,,,,
5,True,-0.001653609,7012.891600000001,-2427.5394,0.0,9440.431,0.000318226,3142.4207952838547,4.999999999970306e-09,1208375168007.1765,1294687680000.0002,1.2499999999925765e-08,14799449.296505718,0.4559439279011446,-269.7266,7012.891600000001,,,,,
6,False,-0.0014346299999999999,9710.1576,-3236.7192000000005,0.0,12946.876800000002,0.000218979,4566.647943410098,8.000000000125962e-09,997988419984.2866,1186797040000.0002,1.4000000000003593e-08,50005476.45070595,0.9989438353309412,-1348.633,9710.1576,,,,,
7,False,-0.0012319539999999997,7552.344800000001,-2157.8128,0.0,9710.1576,0.00020267600000000016,4933.983303400498,9.000000000033287e-09,623368142219.9167,863125120000.0,1.3000000000096268e-08,36795403.734300554,0.8658663163448714,-269.7266,7552.344800000001,,,,,
8,False,-0.0010690879999999997,7552.344800000001,-2427.5394,0.0,9979.8842,0.000162866,6140.016946446772,1.1999999999972102e-08,539453200001.2542,1078906400000.0,1.1999999999972102e-08,51730095.26916578,0.9982723967205437,-269.7266,7552.344800000001,,,,,
9,False,-0.0009714919999999998,4315.6256,-1078.9064,0.0,5394.532,9.759599999999992e-05,10246.321570556178,1.4999999999910918e-08,244552117334.7857,647343840000.0001,1.1000000000064777e-08,53639159.34989334,0.995834054472031,-269.7266,4315.6256,,,,,
10,False,-0.0008623859999999997,5124.8054,-1618.3596000000002,0.0,6743.165000000001,0.00010910600000000009,9165.398786501193,1.4999999999910918e-08,287708373335.042,755234480000.0,1.1000000000064777e-08,54332816.45344545,0.9968841211601878,-539.4532,5124.8054,,,,,
11,False,-0.0007232209999999996,6743.165000000001,-2157.8128,0.0,8900.9778,0.00013916500000000012,7185.714798979622,9.000000000033287e-09,647343839997.606,1024961080000.0,1.2000000000188943e-08,55388774.669385046,0.9982776874504925,-539.4532,6743.165000000001,,,,,
12,False,-0.0004984019999999998,7552.344800000001,-2427.5394,0.0,9979.8842,0.0002248189999999998,4448.022631539153,1.2999999999662587e-08,497956800012.92444,1240742360000.0002,9.49999999998695e-09,30073608.80088799,0.7229518516144102,-269.7266,7552.344800000001,,,,,
13,False,-0.0003719909999999999,6473.438400000001,-2157.8128,0.0,8631.2512,0.00012641099999999988,7910.703973546613,6.000000000311312e-09,899088666620.0173,971015760000.0,1.1999999999972102e-08,57291946.87582585,0.9971183175356342,-539.4532,6473.438400000001,,,,,
14,True,-6.999999999784956e-09,7012.891600000001,-2427.5394,0.0,9440.431,0.0003719840000000001,2688.2876682868073,5.999999999877631e-09,1006979306687.204,1132851720000.0002,9.999999999940612e-09,8108333.241348627,0.2195776460449962,-269.7266,7012.891600000001,,,,,
15,False,0.00017227300000000013,7282.618200000001,-2697.266,0.0,9979.8842,0.00017227999999999992,5804.504295333181,8.000000000125962e-09,836152459986.8347,1132851720000.0,1.4499999999957255e-08,37968991.75581225,0.7616604169408778,-269.7266,7282.618200000001,,,,,
16,False,0.0003694970000000003,6203.7118,-2157.8128,0.0,8361.5246,0.00019722400000000018,5070.376830406031,4.999999999970306e-09,1035750144006.1511,1240742360000.0,1.0000000000374293e-08,24114613.65425787,0.6072500159237568,-269.7266,6203.7118,,,,,
17,False,0.0005613090000000003,9170.7044,-3776.1724000000004,0.0,12946.876800000002,0.00019181199999999997,5213.438158196568,8.000000000125962e-09,1078906399983.0125,1510468960000.0,1.350000000004993e-08,49899695.161321804,0.9362846353897654,-269.7266,9170.7044,,,,,
18,False,0.0007013530000000005,7282.618200000001,-1888.0862000000002,0.0,9170.7044,0.0001400440000000002,7140.612950215636,1.6000000000251924e-08,377617239994.0544,971015760000.0002,9.000000000033287e-09,57570373.33577888,0.9976744015651832,-269.7266,7282.618200000001,,,,,
19,False,0.0008545190000000002,7552.344800000001,-2697.266,0.0,10249.6108,0.00015316599999999972,6528.864108222463,1.0999999999847937e-08,588494400008.1354,1240742360000.0002,9.000000000033287e-09,56090398.645165734,0.9981656996858874,-1078.9064,7552.344800000001,,,,,
20,False,0.0010212540000000005,9170.7044,-4045.8990000000003,0.0,13216.6034,0.00016673500000000032,5997.541008186632,9.999999999940612e-09,906281376005.3823,1834140880000.0,1.4999999999910918e-08,52722138.58467398,0.9975816488821161,-539.4532,9170.7044,,,,,
21,False,0.0011810870000000004,8091.798000000001,-2427.5394,0.0,10519.3374,0.00015983299999999985,6256.530253452046,4.000000000496662e-09,1726250239785.6597,1618359600000.0,9.999999999940612e-09,49478759.57908365,0.9962593298814999,-269.7266,8091.798000000001,4.999999999996327e-07,,,,
22,False,0.0012712540000000007,9170.7044,-4045.8990000000003,0.0,13216.6034,9.016700000000037e-05,11090.53201282061,9.999999999940612e-09,906281376005.3823,1834140880000.0,1.4999999999910918e-08,129521635.90572435,0.8727173837248834,-269.7266,9170.7044,,,,,
23,False,0.0014310870000000006,8091.798000000001,-2427.5394,0.0,10519.3374,0.00015983299999999985,6256.530253452046,3.9999999996293e-09,1726250240159.9805,1618359600000.0,9.999999999940612e-09,49478759.57908362,0.9962593298814999,-269.7266,8091.798000000001,4.999999999996327e-07,,,,
