# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,True,-0.001184703,12200.0,-4000.0,-3000.0,16200.0,,,4.999999999970306e-09,2400000000014.253,2800000000000.0,1.1000000000064777e-08,2009762.696014339,0.9757553572179495,10000.0,12200.0,,,,,
1,False,-0.0005822539999999999,10200.0,-3000.0,-2200.0,13200.0,0.0006024490000000001,1659.8915426866006,8.999999999816446e-09,1031111111132.1405,1160000000000.0,9.999999999940612e-09,21801489.800303392,0.9833011791378147,-3400.0,10400.0,,,,,
2,False,-0.00030261000000000003,8400.0,-2600.0,-1800.0,11000.0,0.0002796439999999999,3575.9751684284315,1.0999999999847937e-08,712727272737.1254,1480000000000.0,9.49999999998695e-09,36896402.48319214,0.9979023712758339,-2400.0,8400.0,,,,,
3,False,8.78290000000002e-05,15600.0,-4800.0,-3200.0,20400.0,0.00039043900000000024,2561.21955030107,9.000000000033287e-09,1688888888882.6423,3320000000000.0,1.3000000000096268e-08,43924178.80558727,0.9992982365500302,-1800.0,15600.0,,,,,
4,False,0.0003079100000000002,8400.0,-2600.0,-1600.0,11000.0,0.000220081,4543.7816076808085,9.000000000033287e-09,853333333330.1772,1280000000000.0,1.1000000000281618e-08,48602808.04397874,0.994835150342281,-3400.0,8400.0,,,,,
5,False,0.0005297000000000001,10200.0,-2800.0,-2200.0,13000.0,0.00022178999999999992,4508.769556787955,8.000000000125962e-09,1179999999981.4207,1320000000000.0,1.1000000000064777e-08,52414938.25235664,0.9982814752584788,-1800.0,10200.0,,,,,
6,False,0.000744649,10400.0,-3400.0,-2400.0,13800.0,0.00021494899999999987,4652.266351553162,3.000000000155656e-09,3359999999825.6655,1280000000000.0,9.000000000033287e-09,56613453.55518479,0.9977965184546171,-2400.0,10200.0,,,,,
7,False,0.0009966370000000003,12800.0,-4000.0,-3000.0,16800.0,0.0002519880000000003,3968.442941727379,3.000000000155656e-09,4213333333114.723,1920000000000.0,9.000000000033287e-09,59171957.51389663,0.9982593929934137,-2600.0,12600.0,,,,,
8,False,0.001286961,14800.0,-3800.0,-2000.0,18600.0,0.0002903239999999998,3444.4276050206004,7.999999999692281e-09,1720000000066.1597,1720000000000.0,9.000000000033287e-09,59911911.37717586,0.998017799255059,-3200.0,14800.0,,,,,
9,False,0.0015079580000000002,12200.0,-4000.0,-2600.0,16200.0,0.00022099700000000012,4524.948302465642,3.000000000155656e-09,3893333333131.3267,1760000000000.0,1.1000000000064777e-08,58363984.4444733,0.9962624732902057,-1400.0,12200.0,,,,,
