# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,True,-0.0016488822,5664.2586,-269.7266,-539.4532,5933.9852,,,1.1999999999972102e-08,395599013334.25305,539453200000.0,1.2500000000034185e-08,2668151.699528882,0.9860432669500389,2966.9926,5664.2586,,,,,
1,True,-0.0010749552,4855.0788,-809.1798000000001,-539.4532,5664.2586,0.0005739270000000001,1742.3818708651097,9.000000000033287e-09,503489653331.4712,539453200000.0,7.0000000000017965e-09,9402769.056625761,0.9880838082215719,-1078.9064,4855.0788,,,,,
2,False,-0.0006588661999999998,6473.438400000001,-809.1798000000001,-809.1798000000001,7282.618200000001,0.00041608900000000013,2403.3319794563176,1.6000000000251924e-08,364130909994.2668,647343840000.0,9.000000000033287e-09,14615410.548489518,0.9961255623772867,-539.4532,6203.7118,,,,,
3,False,-0.0003559381999999997,4855.0788,-539.4532,-539.4532,5394.532,0.00030292800000000005,3301.114456240426,1.2000000000188943e-08,359635466661.00415,431562560000.0,8.000000000125962e-09,18228014.643693794,0.993417173611455,-1078.9064,4855.0788,,,,,
4,False,-5.199999999604826e-09,7282.618200000001,-1078.9064,-809.1798000000001,8361.5246,0.0003559330000000001,2809.517521556022,8.000000000125962e-09,836152459986.8347,755234480000.0001,1.0000000000374293e-08,20221642.214504633,0.9964469556649743,-539.4532,7552.344800000001,,,,,
5,False,0.00021497780000000015,4045.8990000000003,-539.4532,-269.7266,4585.3522,0.00021498299999999975,4651.5305861393745,1.2999999999662587e-08,282175520007.32385,485507880000.0,8.000000000125962e-09,23334135.8419278,0.9869231377208616,-1078.9064,4045.8990000000003,,,,,
6,False,0.0004181348000000004,4585.3522,-539.4532,-269.7266,5124.8054,0.00020315700000000025,4922.301471275904,1.1000000000281618e-08,372713119990.45795,755234480000.0,8.000000000125962e-09,25253878.803971346,0.9934349125030084,-539.4532,4585.3522,,,,,
7,False,0.0006374928000000002,5933.9852,-539.4532,-539.4532,6473.4384,0.0002193579999999998,4558.757829666577,1.4000000000003593e-08,369910765714.1908,647343840000.0,9.499999999770109e-09,26361462.962527364,0.9936257149301794,-539.4532,5933.9852,,,,,
8,False,0.0008886178000000002,6473.438400000001,-1078.9064,-539.4532,7552.344800000001,0.00025112500000000005,3982.0806371329013,1.4999999999910918e-08,402791722669.05884,809179800000.0,9.000000000033287e-09,27340484.955135494,0.9946110282428379,-809.1798000000001,6473.438400000001,,,,,
9,False,0.0010124048000000004,4045.8990000000003,-269.7266,-269.7266,4315.6256,0.0001237870000000002,8078.392722983822,1.4000000000003593e-08,246607177142.79388,377617240000.0,9.999999999940612e-09,29721645.3240792,0.972840269852328,-1078.9064,4045.8990000000003,,,,,
10,False,0.0012133458000000005,5933.9852,-809.1798000000001,-539.4532,6743.165,0.00020094100000000005,4976.585166790251,9.999999999940612e-09,539453200003.20374,917070440000.0,7.000000000218637e-09,27775776.67100225,0.9949109416006477,269.7266,5933.9852,,,,,
