# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,True,-0.0017240331999999999,4855.0788,-809.1798000000001,-809.1798000000001,5664.2586,,,7.999999999909121e-09,566425860006.4346,431562560000.0,9.50000000009537e-09,3468246.0659974376,0.9405504927139748,1348.633,4855.0788,,,,,
1,True,-0.0010178942,4855.0788,0.0,-809.1798000000001,4855.0788,0.0007061389999999999,1416.1517774829035,1.1000000000064777e-08,353096639997.9207,809179800000.0,7.499999999955459e-09,7689104.472478329,0.9776843946266197,-809.1798000000001,4855.0788,,,,,
2,False,-0.0006549151999999999,4585.3522,269.7266,-539.4532,4315.6256,0.00036297900000000004,2754.9803156656444,1.2999999999662587e-08,265576960006.89307,539453200000.0,8.999999999599606e-09,13940714.904709065,0.9949638295081507,-809.1798000000001,4585.3522,,,,,
3,False,-0.0003556411999999999,5124.8054,-269.7266,-809.1798000000001,5394.532,0.000299274,3341.4195686895623,9.000000000033287e-09,455538257776.09296,755234480000.0,8.999999999599606e-09,17928863.81515287,0.995331866784822,-539.4532,5124.8054,,,,,
4,False,-9.199999999667807e-09,7012.891600000001,-809.1798000000001,-539.4532,7822.071400000001,0.00035563200000000026,2811.895442479865,1.4000000000003593e-08,446975508571.3139,809179800000.0,9.49999999998695e-09,20804062.1389935,0.9971248979476695,-809.1798000000001,7012.891600000001,,,,,
5,False,0.0002628938,6203.7118,0.0,-269.7266,6203.7118,0.00026290299999999966,3803.6842485631632,8.000000000125962e-09,593398519990.6569,593398520000.0,9.999999999940612e-09,22244835.817088302,0.9938152242356948,0.0,6203.7118,,,,,
6,False,0.0004572398000000002,4855.0788,-269.7266,-809.1798000000001,5124.8054,0.0001943460000000002,5145.462216870937,1.2999999999662587e-08,315372640008.1855,377617240000.0,7.999999999909121e-09,24148354.781111002,0.9912844791185345,0.0,4585.3522,,,,,
7,False,0.0006692718000000002,5124.8054,-809.1798000000001,-539.4532,5933.9852,0.00021203200000000002,4716.269242378508,1.1999999999755262e-08,395599013341.40155,539453200000.0001,9.000000000033287e-09,26059153.247898854,0.9938175978415609,-539.4532,5124.8054,,,,,
8,False,0.0008555568000000002,4855.0788,0.0,-539.4532,4855.0788,0.000186285,5368.11874278659,1.4000000000003593e-08,277433074285.6431,431562560000.0,9.000000000033287e-09,28403225.367076565,0.9930883055222116,-539.4532,4855.0788,,,,,
9,False,0.0010135178,4315.6256,-269.7266,-539.4532,4585.3522,0.00015796099999999987,6330.676559403909,1.2999999999662587e-08,282175520007.32385,431562560000.0,8.000000000125962e-09,30617276.80590463,0.9914805025097239,-539.4532,4315.6256,,,,,
10,False,0.0012000058,5394.532,0.0,-269.7266,5394.532,0.00018648799999999984,5362.275320664068,1.4000000000437274e-08,308258971418.94336,647343840000.0,9.999999999940612e-09,31670837.942427672,0.9953362854741358,-539.4532,5394.532,,,,,
11,False,0.0014122898,7012.891600000001,-539.4532,-539.4532,7552.344800000001,0.00021228400000000008,4710.67061106819,9.999999999940612e-09,604187584003.5883,1078906400000.0002,1.3000000000096268e-08,32002927.071092304,0.995663273816341,0.0,7012.891600000001,,,,,
12,False,0.0015967198000000002,6203.7118,0.0,-269.7266,6203.7118,0.00018443000000000018,5422.111370167538,1.2999999999228906e-08,365168320021.66,485507880000.0001,9.999999999940612e-09,32680840.083197344,0.9925179990472197,0.0,6203.7118,,,,,
