# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,True,-0.001301589,5124.8054,-1348.633,-539.4532,6473.4384,,,1.1999999999972102e-08,395599013334.25305,593398520000.0,1.0500000000002695e-08,2115687.009433541,0.8383297805611555,2697.266,5124.8054,,,,,
1,True,-0.0005976309999999999,6203.7118,-1348.633,-539.4532,7552.3448,0.000703958,1420.5392935373986,9.000000000033287e-09,623368142219.9167,809179800000.0001,9.000000000033287e-09,9133503.009635778,0.9935469032114956,-809.1798000000001,6203.7118,,,,,
2,False,-5.999999999877631e-09,7822.071400000001,-1888.0862000000002,-809.1798000000001,9710.1576,0.0005976250000000001,1673.290106672244,1.1000000000281618e-08,686576799982.4226,809179800000.0,1.150000000023528e-08,12917747.77224915,0.997451855689957,-809.1798000000001,7822.071400000001,,,,,
3,False,0.0004968140000000004,7012.891600000001,-1618.3596000000002,-539.4532,8631.2512,0.0004968200000000002,2012.8014170121967,1.0999999999847937e-08,568877920007.8641,809179800000.0001,9.999999999940612e-09,15239914.698586069,0.9980047994640507,-809.1798000000001,7012.891600000001,,,,,
4,False,0.0008225590000000005,5394.532,-809.1798000000001,-539.4532,6203.7118,0.0003257450000000001,3069.8859537368176,1.1000000000281618e-08,372713119990.45795,539453200000.0,1.3000000000096268e-08,18065940.539468948,0.9963336661288356,-809.1798000000001,5394.532,,,,,
5,False,0.0011497660000000004,6473.438400000001,-1348.633,-539.4532,7822.071400000001,0.00032720699999999993,3056.1693362305823,1.1000000000281618e-08,529644959986.44037,809179800000.0,9.999999999940612e-09,21065307.120169435,0.9973166902654066,-809.1798000000001,6473.438400000001,,,,,
6,False,0.0012967410000000001,2966.9926,0.0,0.0,2966.9926,0.0001469749999999997,6803.878210580044,9.999999999940612e-09,194203152001.15335,269726600000.00006,8.000000000125962e-09,24053399.098135635,0.9847034229019335,-809.1798000000001,2966.9926,,,,,
7,False,0.0015741360000000007,7012.891600000001,-1618.3596000000002,-539.4532,8631.2512,0.0002773950000000006,3604.9676454153746,9.999999999940612e-09,604187584003.5883,917070439999.9999,9.999999999940612e-09,24095651.742322784,0.9974658201504228,-269.7266,7012.891600000001,,,,,
8,False,0.0016972750000000003,2697.266,0.0,0.0,2697.266,0.00012313899999999954,8120.904019035429,1.0999999999414256e-08,176548320009.40112,269726600000.00006,8.000000000125962e-09,26413484.932446994,0.9778763097195645,-809.1798000000001,2697.266,,,,,
9,False,0.00176304,1888.0862000000002,0.0,0.0,1888.0862000000002,6.576499999999975e-05,15205.656504219629,1.6000000000251924e-08,67431649998.93829,161835960000.00003,8.000000000125962e-09,28163542.744502444,0.9526506591249505,-539.4532,1888.0862000000002,,,,,
