# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
0,True,-0.002475308,4912.19512195122,-990.2439024390236,-453.658536585365,5902.4390243902435,,,1.3000000000096268e-08,363227016882.8637,643902439024.3903,1.0000000000374293e-08,8128834.536009684,0.986849755782285,2229.268292682928,4643.902439024391,,,,,
1,False,-0.0020115709999999998,4912.19512195122,-990.2439024390236,-453.658536585365,5902.4390243902435,0.0004637370000000001,2156.3946806056015,9.999999999940612e-09,472195121954.0238,643902439024.3903,1.1999999999755262e-08,12443429.460675472,0.9958104553232913,-721.9512195121944,4912.19512195122,,,,,
2,False,-0.0016706549999999998,5448.780487804879,-1526.8292682926822,-453.658536585365,6975.609756097561,0.0003409159999999999,2933.2738856492515,9.999999999940612e-09,558048780491.119,697560975609.7561,1.3000000000096268e-08,15732798.72059079,0.9947825073809714,-721.9512195121944,5448.780487804879,,,,,
3,False,-0.0013800659999999999,4912.19512195122,-990.2439024390236,-453.658536585365,5902.4390243902435,0.00029058899999999995,3441.2864905416245,1.1999999999972102e-08,357723577236.604,751219512195.1221,8.000000000125962e-09,18623430.61197114,0.9955459910949107,-721.9512195121944,4912.19512195122,,,,,
4,False,-0.0011484549999999998,4912.19512195122,-1258.536585365853,-453.658536585365,6170.731707317073,0.00023161100000000006,4317.584225274273,9.999999999940612e-09,472195121954.0238,536585365853.6585,8.500000000079624e-09,21113773.536941707,0.9925678559196681,-721.9512195121944,4912.19512195122,,,,,
5,True,-0.000663856,5448.780487804879,-1258.536585365853,-721.9512195121944,6707.317073170732,0.00048459899999999984,2063.5618315349398,9.999999999940612e-09,536585365856.84534,697560975609.7561,1.1999999999972102e-08,7510388.530891748,0.3611015236858547,-721.9512195121944,5448.780487804879,,,,,
6,False,-0.00045202099999999993,5448.780487804879,-1258.536585365853,-721.9512195121944,6707.317073170732,0.00021183500000000006,4720.655226945499,6.999999999784956e-09,613240418137.306,590243902439.0244,9.999999999940612e-09,26741453.513409354,0.9930734946294526,-721.9512195121944,5448.780487804879,,,,,
7,False,-0.00024043899999999984,5180.48780487805,-721.9512195121944,-453.658536585365,5902.439024390244,0.0002115820000000001,4726.299968806418,9.000000000033287e-09,476964769645.93243,643902439024.3903,9.999999999940612e-09,28250950.71127224,0.9956902443536952,-990.2439024390236,5180.48780487805,,,,,
8,False,-8.999999999599606e-09,7058.536585365855,-2063.4146341463406,-721.9512195121944,9121.951219512195,0.00024043000000000024,4159.214740257035,9.000000000033287e-09,810840108398.0851,858536585365.8536,1.0000000000374293e-08,29070741.329818025,0.9952709884225301,-721.9512195121944,7058.536585365855,,,,,
9,False,0.00018467800000000019,5180.48780487805,-1258.536585365853,-453.658536585365,6439.024390243903,0.00018468699999999979,5414.566266169255,9.999999999940612e-09,493658536588.2976,590243902439.0243,1.0999999999847937e-08,30368782.57903817,0.992348901691763,-990.2439024390236,5180.48780487805,,,,,
